1180378	7139508	528847	link	https://en.wikipedia.org/wiki/Marycha				
1180379	9414401	528847	be	Марыха				
1180380	7299080	532624		Lyubovin				
1180381	7299081	532624	ru	Любовин				
1180382	7299082	532624		Lyubavin				
1180383	2798082	533039	be	Льва				
1180384	3830088	533039		L’va				
1180385	7096098	533039	be	L’va				
1180386	7096099	533039		Льва				
1180387	319560	543597		Katra				
1180388	3849496	543597		Kotra				
1180389	6993761	543597	be	Котра				
1180390	7548396	543597	link	https://en.wikipedia.org/wiki/Kotra_%28river%29				
1180391	7299086	546096		Kawpita				
1180392	7299087	546096		Kolpita				
1180393	7299088	546096	ru	Колпита				
1180394	7299089	546096	be	Каўпіта				
1180395	1743125	556386	en	Indura				
1180396	1743126	556386	ru	Индура	1.0			
1180397	3875302	556386		Indura				
1180398	6993843	556386	be	Індура				
1180399	326456	559285		Haryn’				
1180400	326457	559285		Novy Goryn’ River				
1180401	326458	559285	ru	Goryn’				
1180402	3880891	559285		Horyn’				
1180403	3880892	559285	be	Гарынь				
1180404	7096190	559285	uk	Горинь				
1180405	11293722	559285	link	https://en.wikipedia.org/wiki/Horyn_River				
1180406	3885476	561818		Gavrilovka				
1180407	3885477	561818		Гавриловка				
1180408	6045927	561818	ru	Гавриловка				
1180409	328979	565896		Dnipro				
1180410	328980	565896		Dnyapro				
1180411	328981	565896		Dnepr				
1180412	328982	565896		Borysthenes				
1180413	328983	565896		Dnjepr				
1180414	328984	565896		Dneper River				
1180415	328985	565896	fr	Dniepr				
1180416	328986	565896		Dnieper River				
1180417	328987	565896		Dniepr River				
1180418	3893940	565896	en	Dnieper				
1180419	6915541	565896		Dniepr				
1180420	8004603	565896	be	Дняпро (Dniapro)				
1180421	8004611	565896	el	Δάναπρις   (Danapris)				
1180422	8004612	565896	la	Danaper				
1180423	8004613	565896	orv	Slavuta				
1180424	8004614	565896	pt	Rio Dniepre				
1180425	8004627	565896	crh	Özü				
1180426	10227543	565896	uk	Дніпро				
1180427	10227544	565896	ru	Днепр				
1180428	10227545	565896	be	Дняпро				
1180429	10380100	565896	lt	Dniepras				
1180430	16205130	565896	link	https://en.wikipedia.org/wiki/Dnieper				
1180431	329103	566172		Dzitwa				
1180432	329104	566172		Dzitva				
1180433	6915542	566172	be	Дзітва				
1180434	13934063	566172		Ditva				
1180435	13934064	566172	ru	Дитва				
1180436	7558908	568828		Chërnitsa				
1180437	7558909	568828		Charnitsa				
1180438	7558910	568828	be	Чарнёца				
1180439	330579	569548		Reka Chakva				
1180440	2799384	569548		Chakva				
1180441	3901450	569548		Chekva				
1180442	334227	577798		Ozero Byale				
1180443	2799673	577798		Vozyera Byelaye				
1180444	2799674	577798	be	Возера Белае				
1180445	2799675	577798	uk	Озеро Біле				
1180446	2799676	577798		Ozero Beloye				
1180447	3917381	577798		Ozero Bile				
1180448	6964109	577798	uk	Ozero Bile				
1180449	7096247	579452		Balazhevichi				
1180450	7096248	579452	ru	Балажевичи				
1180451	336208	582380		Al’shovka				
1180452	336209	582380		Ol’shovka				
1180453	3923628	582380		Al’showka				
1180454	7558915	582380	ru	Ольшовка				
1180455	7299233	585277		Pervoye Maya				
1180456	7299234	585277	ru	Первое Мая				
1180457	7299235	585277		Pervomaysk				
1180458	348835	592736		Zhyzhma				
1180459	348836	592736		Zhizhma				
1180460	348837	592736		Żyżma				
1180461	4003773	592736		Žižma				
1180462	6916721	592736	be	Жыжма				
1180463	13700153	592736	ru	Жижма				
1180464	350787	594017		Swiłka				
1180465	350788	594017		Reka Svilka				
1180466	4004709	594017		Svyla				
1180467	350866	594066		Švenčionių Aukštuma				
1180468	350867	594066		Sventsyanskiye Gryady				
1180469	4004743	594066		Svyantsyanskiya Hrady				
1180470	351093	594196		Struna				
1180471	351094	594196		Strūne				
1180472	4004843	594196		Strūna				
1180473	11171319	595013	lt	Šalčykščia				
1180474	352322	595017		Shal’cha				
1180475	352323	595017		Sol’cha				
1180476	352324	595017		Solcza				
1180477	352325	595017		Sol’chyay				
1180478	4005450	595017		Šalčia				
1180479	6891422	595017	link	https://en.wikipedia.org/wiki/%C5%A0al%C4%8Dia				
1180480	352797	595346		Ravkota				
1180481	4005695	595346		Raukėta				
1180482	353109	595577		Prūto Ežeras				
1180483	353110	595577		Prūtas				
1180484	353111	595577		Ozero Pruta				
1180485	4005852	595577		Ozero Prutas				
1180486	7299398	595577		Vozyera Prutsi				
1180487	7299399	595577	be	Возера Пруці				
1180488	11086927	595577	lt	Ežeras Prūtas				
1180489	353578	595875		Pelesa				
1180490	353579	595875		Pielasa				
1180491	4006085	595875		Pelyasa				
1180492	11844886	595875	lt	Ūla-Pelesa				
1180493	11264143	596602	lt	Nočia				
1180494	11715365	597911	lt	Kubilnyčia				
1180495	357507	598485		Kamaja				
1180496	357508	598485		Reka Kamayka				
1180497	4008005	598485		Kamoja				
1180498	358254	599005		Igara				
1180499	4008398	599005		Igorka				
1180500	358438	599137		Grodnenskaya Pushcha				
1180501	358439	599137		Pushcha Grodzen’ska				
1180502	358915	599481		Hawya				
1180503	358916	599481		Gaviya				
1180504	358917	599481		Gav’ya				
1180505	358918	599481		Gauya				
1180506	358919	599481		Giawa				
1180507	4008765	599481		Gauja				
1180508	6916723	599481	be	Гаўя				
1180509	6916724	599481	ru	Gav’ya				
1180510	359208	599659		Dysna				
1180511	359209	599659		Disna				
1180512	359210	599659		Drisna				
1180513	4008907	599659		Dzisna				
1180514	7356964	599659	be	Дзісна				
1180515	7517344	599659	link	https://en.wikipedia.org/wiki/Dysna_River				
1180516	359345	599767	lt	Drūkšių ežeras	1.0			
1180517	359346	599767		Ozero Drys’vyata				
1180518	359347	599767	lt	Drūkšiai				
1180519	359348	599767		Ozero Drisvyaty				
1180520	359349	599767		Drūkšiai Ežeras				
1180521	359350	599767		Drisvjatu Ežeras				
1180522	359351	599767		Ozero Drys’vyaty				
1180523	359352	599767		Jezioro Dryświaty				
1180524	2924668	599767	link	https://en.wikipedia.org/wiki/Lake_Dr%C5%ABk%C5%A1iai				
1180525	4008977	599767		Vozyera Drysvyaty				
1180526	7299402	599767	be	Возера Дрысвяты				
1180527	7299403	599767	be	Vozyera Drukshay				
1180528	360246	600391		Braslavskaya Gryada				
1180529	4009448	600391		Braslawskaya Hrada				
1180530	360318	600439		Birvėta				
1180531	360319	600439		Berveta				
1180532	360320	600439		Reka Birvinta				
1180533	360321	600439		Bervyte				
1180534	360322	600439		Birvita				
1180535	4009484	600439		Birvyeta				
1180536	7356966	600439	be	Бірвета				
1180537	7356967	600439		Birveta				
1180538	16204668	600439	link	https://en.wikipedia.org/wiki/Birv%C4%97ta				
1180539	360359	600465		Bekyany				
1180540	4009503	600465		Bikėnai				
1180541	7420209	600465	ru	Бекяны				
1180542	361046	600932		Ashmyanskaye Wzvyshsha				
1180543	361047	600932		Oshmyanskaya Vozvyshennost’				
1180544	361048	600932		Ashmyanskiya Hrady				
1180545	4009862	600932		Ašmenos Aukštuma				
1180546	361107	600973		Ozero Apvarday				
1180547	361108	600973		Jezioro Opiwarda				
1180548	361109	600973		Ozero Anvarday				
1180549	361110	600973		Ozero Opivarda				
1180550	361111	600973		Apvardai				
1180551	361112	600973		Apivardai				
1180552	361113	600973		Apardai				
1180553	4009892	600973		Apvardų Ežeras				
1180554	7299404	600973		Vozyera Apivarda				
1180555	7299405	600973	be	Возера Апіварда				
1180556	11086928	600973	lt	Ežeras Apvardai				
1180557	361458	601225		Adutiškio Miškas				
1180558	4010068	601225		Adutiškio Miškai				
1180559	7356969	601225		Les Godutishskaya Dacha				
1180560	7356970	601225	ru	Лес Годутишская Дача				
1180561	1707596	611866	en	Skidel'				
1180562	1707597	611866	ru	Скидель	1.0			
1180563	4094278	611866		Skidel’				
1180564	6994977	611866		Skidal’				
1180565	6994978	611866	be	Скідаль				
1180566	6994979	611866	ru	Skidel’				
1180567	7046309	611866	link	https://en.wikipedia.org/wiki/Skidzyel%E2%80%99				
1180568	7421071	612548		Osovy				
1180569	7421072	612548	ru	Осовы				
1180570	7099530	617171		Usokhskaya Buda				
1180571	7099531	617171	be	Усохская Буда				
1180572	376687	618665		Tsna				
1180573	6550764	618665		Tsna-Iodkovo				
1180574	6769328	618665	be	Цна				
1180575	376689	618667		Mikolce				
1180576	376690	618667		Mikol’tse				
1180577	1695510	618667	en	Mikol'tsy				
1180578	1695511	618667	ru	Никольцы				
1180579	5826110	618667		Mikol’tsy				
1180580	7357815	618667		Nikol’tsy				
1180581	376691	618668		Hukowo				
1180582	4172319	618668		Gukovo				
1180583	6919035	618668	ru	Гуково				
1180584	7357816	618669		Zyuzino				
1180585	7357817	618669	ru	Зюзино				
1180586	13931007	618669	link	https://en.wikipedia.org/wiki/Zyuzino,_Belarus				
1180587	15720950	618669	wkdt	Q20469578				
1180588	376692	618670		Zbyli				
1180589	1710029	618670	en	Zyli				
1180590	1710030	618670	ru	Брыли				
1180591	3234607	618670		Zyli				
1180592	7652783	618670	ru	Зыли				
1180593	7421702	618672		Zygmuntishki				
1180594	7421703	618672	ru	Зыгмунтишки				
1180595	7421704	618672		Zygmuntsyshki				
1180596	7319878	618673		Zyatkovichi				
1180597	7319879	618673	ru	Зятковичи				
1180598	7102089	618674		Stantsyya Zyabrawka				
1180599	7102090	618674	be	Станцыя Зябраўка				
1180600	7102091	618674		Stantsiya Zyabrovka				
1180601	7102092	618674		Zyabrawka				
1180602	376693	618675		Sjabrowsk				
1180603	376694	618675		Zyabrawka				
1180604	1729540	618675	en	Zyabrovka				
1180605	1729541	618675	ru	Зябровка				
1180606	4172320	618675		Zyabrovka				
1180607	7102093	618675	be	Зябраўка				
1180608	7652784	618676		Zyablitsa				
1180609	7652785	618676	ru	Зяблица				
1180610	7652786	618676		Zyablitsy				
1180611	7357818	618677		Zyabliny				
1180612	7357819	618677	ru	Зяблины				
1180613	376695	618678		Ziabki				
1180614	4172321	618678		Zyabki				
1180615	7357820	618678	be	Зябкі				
1180616	376696	618679		Zyabki Vtoryye				
1180617	376697	618679		Ziabki-Pervyye				
1180618	1751333	618679	en	Zyabki				
1180619	1751334	618679	ru	Зябки				
1180620	4172322	618679		Zyabki				
1180621	7421705	618680		Stantsyya Zyaby				
1180622	7421706	618680	be	Станцыя Зябы				
1180623	7421707	618680		Stantsiya Zyabi				
1180624	7421708	618680		Zyaby				
1180625	7652787	618681		Zyaben’				
1180626	7652788	618681	ru	Зябень				
1180627	1717591	618683	en	Zvonets				
1180628	1717592	618683	ru	Звонец				
1180629	4172323	618683		Zvonets				
1180630	7319880	618683		Zvanyets				
1180631	7319881	618683	be	Званец				
1180632	7357821	618684		Ozero Zvon’				
1180633	7357822	618684	ru	Озеро Звонь				
1180634	7357823	618685		Zvon’				
1180635	7357824	618685	ru	Звонь				
1180636	7421709	618686		Zvenyaty				
1180637	7421710	618686	ru	Звеняты				
1180638	7421711	618686		Zvinyaty				
1180639	7562215	618687		Prypynachny Punkt Zvyazda				
1180640	7562216	618687	be	Прыпыначны Пункт Звязда				
1180641	7562217	618687		Stantsiya Zvezda				
1180642	7562218	618687		Zvyazda				
1180643	7562219	618687		Ostanovochnyy Punkt Zvezda				
1180644	7102094	618688		Zverovshchina				
1180645	7102095	618688	ru	Зверовщина				
1180646	13576793	618688	be	Zvyerawshchyna				
1180647	13576794	618688	be	Звераўшчына				
1180648	376698	618689		Zvinyatskoye				
1180649	4172324	618689		Zvenyatskoye				
1180650	7102096	618689	ru	Звенятское				
1180651	1695566	618690	en	Zvenchatka				
1180652	1695567	618690	ru	Звенчатка				
1180653	3234608	618690		Zvenchatka				
1180654	7562220	618690		Zvyanchatka				
1180655	7562221	618690	be	Звянчатка				
1180656	7357825	618691		Ozero Zvanoye				
1180657	7357826	618691	ru	Озеро Званое				
1180658	7357827	618693		Zhusiny				
1180659	7357828	618693	ru	Жусины				
1180660	7357829	618693		Zusiny				
1180661	7562222	618696		Zui				
1180662	7562223	618696	ru	Зуи				
1180663	7562224	618697		Stantsyya Zubry				
1180664	7562225	618697	be	Станцыя Зубры				
1180665	7562226	618697		Stantsiya Zubry				
1180666	7562227	618697		Zubry				
1180667	1661728	618698	en	Zubry				
1180668	1661729	618698	ru	Зубры				
1180669	3234609	618698		Zubry				
1180670	7562228	618699		Zubrevichy				
1180671	7562229	618699	be	Зубрэвічы				
1180672	7562230	618699		Zubrevichi				
1180673	6769329	618700		Zubovshchina				
1180674	6769330	618700	ru	Зубовщина				
1180675	6769331	618700		Zubovshchizna				
1180676	376699	618701		Zubova				
1180677	4172325	618701		Zubovo				
1180678	7562231	618701		Zubava				
1180679	7562232	618701	be	Зубава				
1180680	7102097	618702		Zublishche				
1180681	7102098	618702	ru	Зублище				
1180682	6919036	618703		Zubki				
1180683	6919037	618703	be	Зубкі				
1180684	2803429	618704		Zubelevichi				
1180685	4172326	618704		Zubeleviche				
1180686	6919038	618704	ru	Зубелевичи				
1180687	7102099	618705		Zub-Buda				
1180688	7102100	618705	ru	Зуб-Буда				
1180689	7102101	618705		Zubarevskaya Buda				
1180690	1699841	618707	en	Zubarevichi				
1180691	1699842	618707	ru	Зубаревичи				
1180692	4172327	618707		Zubarevichi				
1180693	7102102	618708		Zubar				
1180694	7102103	618708	ru	Зубар				
1180695	7562233	618709		Zubaki				
1180696	7562234	618709	ru	Зубаки				
1180697	1740948	618710	en	Zubaki				
1180698	1740949	618710	ru	Зубаки				
